Accident.Number,Aircraft.Category,Aircraft.Destroyed,Aircraft.Type,Aircraft.damage,Amateur.Built,Broad.phase.of.flight,Country,Engine.Type,Event.Date,Event.Id,FAR.Description,Fatal.Serious,Fatal.Serious.Rate,Injury.Severity,Investigation.Type,Location,Make,Model,Number.of.Engines,Publication.Date,Purpose.of.flight,Registration.Number,Total.Fatal.Injuries,Total.Minor.Injuries,Total.People,Total.Serious.Injuries,Total.Uninjured,Weather.Condition
CEN19LA300,Airplane,False,CESSNA 425,Substantial,No,,United States,TURBO PROP,2019-08-25,20190826X43114,091,0.0,0.0,Non-Fatal,Accident,"Bethany, OK",CESSNA,425,2.0,26-09-2020,PERSONAL,N300GD,0.0,0.0,1.0,0.0,1.0,VMC
CEN19TA330,Airplane,False,CIRRUS SR22,Substantial,No,,United States,,2019-08-25,20190904X11153,091,0.0,0.0,Non-Fatal,Accident,"GLENWOOD SPRINGS, CO",CIRRUS,SR22,,02-02-2021,PERSONAL,N983WP,0.0,0.0,3.0,0.0,3.0,VMC
CEN19WA287,Airplane,True,PIPER PA28RT,Destroyed,No,,Eswatini,RECIPROCATING,2019-08-25,20190827X80311,NUSN,3.0,1.0,Fatal,Accident,"Simplon Pass, Eswatini",PIPER,PA28RT,1.0,26-09-2020,PERSONAL,G-BVDH,3.0,0.0,3.0,0.0,0.0,
WPR19LA243,Airplane,False,MOONEY M20C,Substantial,No,,United States,RECIPROCATING,2019-08-26,20190827X10947,091,1.0,0.3333333333333333,Non-Fatal,Accident,"Reno, NV",MOONEY,M20C,1.0,26-09-2020,PERSONAL,N78988,0.0,2.0,3.0,1.0,0.0,
GAA19CA515,Airplane,False,PIPER PA18,Substantial,No,,United States,RECIPROCATING,2019-08-27,20190828X10040,091,0.0,0.0,Non-Fatal,Accident,"Kenai, AK",PIPER,PA18,1.0,26-09-2020,PERSONAL,N7184B,0.0,0.0,1.0,0.0,1.0,VMC
DCA19CA208,Airplane,False,MCDONNELL DOUGLAS MD88,Unknown,No,,United States,TURBO JET,2019-08-27,20190830X60449,121,0.0,0.0,Non-Fatal,Accident,"Chicago, IL",MCDONNELL DOUGLAS,MD88,2.0,26-09-2020,,N911DL,0.0,1.0,152.0,0.0,151.0,VMC
DCA19CA206,Airplane,False,AIRBUS A320,Unknown,No,,United States,TURBO FAN,2019-08-27,20190830X64106,121,0.0,0.0,Non-Fatal,Accident,"Denver, CO",AIRBUS,A320,2.0,05-04-2021,,N328FR,0.0,1.0,1.0,0.0,0.0,VMC
WPR19WA254,Airplane,True,CESSNA 560,Destroyed,No,,India,,2019-08-27,20190911X62317,NUSN,0.0,,,Accident,"Azligarh, India",CESSNA,560,,26-09-2020,,VT-AVV,0.0,0.0,0.0,0.0,0.0,
DCA19WA211,Airplane,False,AIRBUS A330,Substantial,No,,China,,2019-08-27,20190913X83845,NUSC,0.0,0.0,Non-Fatal,Accident,"Beijing, China",AIRBUS,A330,,26-09-2020,,B-5958,0.0,0.0,162.0,0.0,162.0,
WPR19FA244,Airplane,True,CESSNA 172,Destroyed,No,,United States,RECIPROCATING,2019-08-28,20190828X20449,091,2.0,1.0,Fatal,Accident,"McKenzie Bridge, OR",CESSNA,172,1.0,01-06-2021,PERSONAL,N4108F,2.0,0.0,2.0,0.0,0.0,VMC
GAA19CA518,Airplane,False,PIPER PA32RT,Substantial,No,,United States,RECIPROCATING,2019-08-28,20190828X74813,091,0.0,0.0,Non-Fatal,Accident,"Ashland, OR",PIPER,PA32RT,1.0,26-09-2020,PERSONAL,N2228B,0.0,0.0,1.0,0.0,1.0,VMC
WPR19FA246,Airplane,False,BEECH 33,Substantial,No,,United States,RECIPROCATING,2019-08-29,20190829X05958,091,3.0,1.0,Fatal,Accident,"St. Ignatious, MT",BEECH,33,1.0,20-10-2021,PERSONAL,N9529Y,3.0,0.0,3.0,0.0,0.0,VMC
CEN19LA295,Airplane,False,AIR TRACTOR AT502,Substantial,No,,United States,TURBO PROP,2019-08-29,20190829X34852,091,1.0,1.0,Non-Fatal,Accident,"Olney, TX",AIR TRACTOR,AT502,1.0,26-09-2020,BUSINESS,N8517Q,0.0,0.0,1.0,1.0,0.0,VMC
CEN19LA292,Airplane,False,CESSNA 172,Substantial,No,,United States,RECIPROCATING,2019-08-29,20190829X83853,091,1.0,1.0,Non-Fatal,Accident,"Denver, CO",CESSNA,172,1.0,26-09-2020,INSTRUCTIONAL,N53432,0.0,0.0,1.0,1.0,0.0,
ANC19LA047,Airplane,False,PIPER PA-22-150,Substantial,No,,United States,RECIPROCATING,2019-08-29,20190829X92028,091,0.0,0.0,Non-Fatal,Accident,"Talkeetna, AK",PIPER,PA-22-150,1.0,19-11-2020,INSTRUCTIONAL,N7236D,0.0,0.0,2.0,0.0,2.0,VMC
WPR19WA260,Airplane,True,AIR TRACTOR AT502,Destroyed,No,,Papua New Guinea,,2019-08-29,20190913X15235,UNK,1.0,1.0,Fatal,Accident,"Gusap, Papua New Guinea",AIR TRACTOR,AT502,,26-09-2020,,P2-SET,1.0,0.0,1.0,0.0,0.0,
GAA19CA568,Airplane,False,LUSCOMBE 8,Substantial,No,,United States,RECIPROCATING,2019-08-30,20190830X73100,091,0.0,0.0,Non-Fatal,Accident,"Prescott, AZ",LUSCOMBE,8,1.0,26-09-2020,PERSONAL,N25100,0.0,0.0,2.0,0.0,2.0,VMC
ANC19LA048,Airplane,False,PIPER PA-18,Substantial,No,,United States,RECIPROCATING,2019-08-30,20190903X05611,091,0.0,0.0,Non-Fatal,Accident,"Fairbanks, AK",PIPER,PA-18,,19-11-2020,PERSONAL,N1124,0.0,0.0,1.0,0.0,1.0,VMC
ANC19CA057,Airplane,False,PIPER PA22,Substantial,No,,United States,RECIPROCATING,2019-08-30,20200603X81031,091,1.0,0.5,Non-Fatal,Accident,"Arctic Village, AK",PIPER,PA22,1.0,26-09-2020,PERSONAL,N7056D,0.0,0.0,2.0,1.0,1.0,VMC
WPR19LA247,Airplane,False,CESSNA 510,Substantial,No,,United States,TURBO FAN,2019-08-31,20190831X32452,091,2.0,1.0,Non-Fatal,Accident,"El Monte, CA",CESSNA,510,,26-09-2020,PERSONAL,N551WH,0.0,0.0,2.0,2.0,0.0,VMC
CEN19LA299,Airplane,False,PIPER PA28,Substantial,No,,United States,RECIPROCATING,2019-08-31,20190902X23852,091,2.0,1.0,Non-Fatal,Accident,"Conroe, TX",PIPER,PA28,1.0,26-09-2020,PERSONAL,N55633,0.0,0.0,2.0,2.0,0.0,VMC
DCA19WA215,Airplane,False,BOEING 737,Unknown,No,,South Africa,,2019-08-31,20190917X82433,NUSC,0.0,0.0,Non-Fatal,Incident,"Cape Town, South Africa",BOEING,737,,26-09-2020,,ZS-ZWU,0.0,0.0,133.0,0.0,133.0,
GAA19CA522,Airplane,False,STINSON 108,Substantial,No,,United States,RECIPROCATING,2019-09-01,20190902X51258,091,0.0,0.0,Non-Fatal,Accident,"Bandera, WA",STINSON,108,1.0,26-09-2020,PERSONAL,N97699,0.0,0.0,1.0,0.0,1.0,VMC
ERA19LA264,Airplane,False,CIRRUS SR22,Substantial,No,,United States,RECIPROCATING,2019-09-01,20190903X95140,091,0.0,0.0,Non-Fatal,Accident,"Foley, AL",CIRRUS,SR22,1.0,26-09-2020,PERSONAL,N878SR,0.0,0.0,4.0,0.0,4.0,VMC
GAA19CA524,Airplane,False,PIPER PA 28-180,Substantial,No,,United States,RECIPROCATING,2019-09-01,20190905X84147,091,0.0,0.0,Non-Fatal,Accident,"Manchester, NH",PIPER,PA 28-180,1.0,26-09-2020,PERSONAL,N7777W,0.0,0.0,1.0,0.0,1.0,VMC
GAA19CA530,Airplane,False,PIPER PA 18,Substantial,No,,United States,RECIPROCATING,2019-09-01,20190909X81218,091,0.0,0.0,Non-Fatal,Accident,"Chickaloon, AK",PIPER,PA 18,1.0,26-09-2020,PERSONAL,N72842,0.0,0.0,1.0,0.0,1.0,VMC
WPR19WA272,Airplane,True,BEECH B300,Destroyed,No,,Philippines,,2019-09-01,20191008X25231,UNK,9.0,1.0,Fatal,Accident,"Calamba, Philippines",BEECH,B300,,26-09-2020,,RP-C2296,9.0,0.0,9.0,0.0,0.0,
CEN19CA336,Airplane,False,PIPER PA38,Substantial,No,,United States,RECIPROCATING,2019-09-02,20190902X32852,091,0.0,0.0,Non-Fatal,Accident,"Taylor, TX",PIPER,PA38,1.0,26-09-2020,INSTRUCTIONAL,N6400A,0.0,0.0,2.0,0.0,2.0,VMC
GAA19CA520,Airplane,False,PIPER PA32RT,Substantial,No,,United States,RECIPROCATING,2019-09-02,20190902X33852,091,0.0,0.0,Non-Fatal,Accident,"Mackinac Island, MI",PIPER,PA32RT,1.0,26-09-2020,PERSONAL,N31934,0.0,0.0,6.0,0.0,6.0,VMC
CEN19LA297,Airplane,False,PIPER J3C,Substantial,No,,United States,,2019-09-02,20190902X34852,091,0.0,0.0,Non-Fatal,Accident,"Independence, MI",PIPER,J3C,,26-09-2020,PERSONAL,N98278,0.0,2.0,2.0,0.0,0.0,VMC
GAA19CA521,Airplane,False,PIPER PA18,Substantial,No,,United States,RECIPROCATING,2019-09-02,20190903X14713,091,0.0,0.0,Non-Fatal,Accident,"Beluga, AK",PIPER,PA18,1.0,13-12-2021,PERSONAL,N655HE,0.0,0.0,1.0,0.0,1.0,VMC
CEN19LA302,Airplane,False,CESSNA 172,Substantial,No,,United States,RECIPROCATING,2019-09-02,20190903X83852,091,0.0,0.0,Non-Fatal,Accident,"La Grange, TX",CESSNA,172,1.0,28-01-2021,PERSONAL,N212BS,0.0,0.0,1.0,0.0,1.0,VMC
DCA19WA212,Airplane,False,BOEING 737,Unknown,No,,South Africa,,2019-09-02,20190916X80750,NUSC,0.0,,,Incident,"Unknown, South Africa",BOEING,737,,26-09-2020,,ZS-SJD,0.0,0.0,0.0,0.0,0.0,
CEN19TA327,Airplane,False,PIPER PA60,Substantial,No,,United States,RECIPROCATING,2019-09-02,20190923X61348,091,0.0,0.0,Non-Fatal,Accident,"Tulsa, OK",PIPER,PA60,2.0,28-01-2021,PERSONAL,N1R,0.0,0.0,2.0,0.0,2.0,VMC
GAA19CA534,Airplane,False,PIPER PA28,Substantial,No,,United States,RECIPROCATING,2019-09-03,20190903X83853,091,0.0,0.0,Non-Fatal,Accident,"Sawyer, MI",PIPER,PA28,1.0,26-09-2020,PERSONAL,N2909U,0.0,0.0,2.0,0.0,2.0,VMC
GAA19CA523,Airplane,False,CESSNA A185,Substantial,No,,United States,RECIPROCATING,2019-09-03,20190904X83048,091,0.0,0.0,Non-Fatal,Accident,"San Carlos, CA",CESSNA,A185,1.0,26-09-2020,PERSONAL,N34GE,0.0,0.0,1.0,0.0,1.0,VMC
GAA19CA548,Airplane,False,CESSNA 180,Substantial,No,,United States,RECIPROCATING,2019-09-04,20190904X15204,091,0.0,0.0,Non-Fatal,Accident,"LANCASTER, TX",CESSNA,180,1.0,26-09-2020,PERSONAL,N9250T,0.0,0.0,1.0,0.0,1.0,VMC
WPR19FA250,Airplane,False,CESSNA 210,Substantial,No,,United States,RECIPROCATING,2019-09-04,20190905X13813,091,2.0,1.0,Fatal,Accident,"Henefer, UT",CESSNA,210,1.0,15-10-2021,AERIAL OBSERVATION,N94262,2.0,0.0,2.0,0.0,0.0,VMC
